3378,	12601,	3196
2221,	8154,	1755
2376,	7562,	2561
2314,	8288,	2856
2782,	10113,	2797
2871,	9472,	3150
1563,	5195,	2417
779,	2897,	1023
710,	2032,	839
185,	696,	85
38,	507,	64
68,	915,	41
